Cygwin Package Information
Package                      Version             	Status
libbrotlidec1                1.2.0-1                  OK
libbz2_1                     1.0.8-2                  OK
libcares2                    1.34.6-0                 OK
libcom_err2                  1.44.5-1                 OK
libcrypt-devel               4.5.2-1                  OK
libcrypt2                    4.5.2-1                  OK
libcurl4                     8.20.0-1                 OK
libdb18.1                    18.1.40-1                OK
libdb5.3                     5.3.28-2                 OK
libdeflate0                  1.25-1                   OK
libedit0                     20251016-1               OK
libexpat1                    2.7.5-1                  OK
libfdisk1                    2.40.2-2                 OK
libffi6                      3.2.1-2                  OK
libffi8                      3.5.2-1                  OK
libfido2                     1.17.0-1                 OK
libfreetype6                 2.13.3-1                 OK
libfribidi0                  1.0.16-1                 OK
libgc1                       8.2.12-1                 OK
libgcc1                      13.4.0-1                 OK
libgcrypt20                  1.12.2-1                 OK
libgdbm6                     1.26-1                   OK
libgdbm_compat4              1.26-1                   OK
libglib2.0_0                 2.87.0-1                 OK
libgmp10                     6.3.0-1                  OK
libgnutls30                  3.8.9-1                  OK
libgomp1                     13.4.0-1                 OK
libgpg-error0                1.58-1                   OK
libgpgme11                   1.24.2-1                 OK
libgraphite2_3               1.3.14-1                 OK
libgssapi_krb5_2             1.15.2-2                 OK
libguile3.0_1                3.0.11-1                 OK
libharfbuzz0                 11.0.1-2                 OK
libhogweed6                  3.9.1-1                  OK
libiconv2                    1.19-2                   OK
libidn2_0                    2.3.8-1                  OK
libimagequant0               2.10.0-1                 OK
libintl-devel                0.22.5-1                 OK
libintl8                     0.22.5-1                 OK
libisl23                     0.27-1                   OK
libjbig2                     2.1-2                    OK
libjpeg8                     3.1.4.1-1                OK
libjsoncpp26                 1.9.6-1                  OK
libk5crypto3                 1.15.2-2                 OK
libkrb5_3                    1.15.2-2                 OK
libkrb5support0              1.15.2-2                 OK
libksba8                     1.6.7-1                  OK
liblastlog2                  2.40.2-2                 OK
liblcms2_2                   2.16-1                   OK
libltdl7                     2.5.4-1                  OK
liblz4_1                     1.9.4-1                  OK
liblzma5                     5.8.3-1                  OK
liblzo2_2                    2.10-2                   OK
libmetalink3                 0.1.3-1                  OK
libmpc3                      1.4.1-1                  OK
libmpfr6                     4.2.2-1                  OK
libncurses++w10              6.5+20240427-1           OK
libncurses-devel             6.5+20240427-1           OK
libncursesw10                6.5+20240427-1           OK
libnettle8                   3.9.1-1                  OK
libnghttp2_14                1.69.0-1                 OK
libnpth0                     1.8-1                    OK
libopenldap2                 2.6.13-1                 OK
